record_id,employee_id,full_name,pay_period,gross_pay,bonus_amount,base_salary,bonus_ratio,grade,bank_account,emirates_id,address,hire_date,posting_date,overtime_hours,pay_rate_change_pct,status_change
R0031,E032,Employee 032,2025-10-31,51300,500,50000,0.01,G2,BA-0031,784-1996-7179993-4,"Tower 29, Dubai",2022-11-10,2025-09-01,4,43.07,none
R0032,E033,Employee 033,2025-10-31,35600,0,35000,0.0,G6,BA-0032,784-1980-9585079-7,"Tower 44, Dubai",2021-12-04,2025-09-08,3,2.53,none
R0033,E034,Employee 034,2025-10-31,36600,0,35000,0.0,G5,BA-0033,784-1987-8556787-0,"Tower 13, Dubai",2023-07-09,2025-09-30,8,5.6,none
R0034,E035,Employee 035,2025-10-31,15000,2000,12000,0.167,G4,BA-0034,784-1987-4756456-9,"Tower 12, Dubai",2024-02-23,2025-09-23,5,6.65,none
R0035,E036,Employee 036,2025-10-31,14700,500,12000,0.042,G2,BA-0035,784-1981-9173195-2,"Tower 79, Dubai",2022-09-20,2025-09-01,11,1.43,none
R0036,E037,Employee 037,2025-10-31,27200,1000,25000,0.04,G6,BA-0036,784-1995-9594880-8,"Tower 53, Dubai",2025-03-17,2025-09-30,6,4.62,none
R0037,E038,Employee 038,2025-10-31,30800,5000,25000,0.2,G2,BA-0037,784-1986-5492222-6,"Tower 75, Dubai",2025-02-24,2025-09-25,4,2.71,none
R0038,E039,Employee 039,2025-10-31,75800,50000,25000,2.0,G5,BA-0038,784-1992-6887225-7,"Tower 73, Dubai",2025-03-31,2025-09-03,4,6.51,none
R0039,E040,Employee 040,2025-10-31,18500,500,18000,0.028,G4,BA-0039,784-1989-8907306-3,"Tower 56, Dubai",2022-06-10,2025-09-10,0,1.17,none
R0040,E041,Employee 041,2025-10-31,10500,500,8000,0.062,G2,BA-0040,784-1983-2157462-1,"Tower 71, Dubai",2023-06-03,2025-09-21,10,7.79,none
R0041,E042,Employee 042,2025-10-31,13400,1000,12000,0.083,G3,BA-0041,784-1985-0826819-0,"Tower 30, Dubai",2023-02-19,2025-09-19,2,7.93,reactivation
R0042,E043,Employee 043,2025-10-31,16200,2000,12000,0.167,G5,BA-0042,784-1996-2600978-1,"Tower 7, Dubai",2023-08-19,2025-09-20,11,0.65,none
R0043,E044,Employee 044,2025-10-31,14600,5000,8000,0.625,G3,BA-0043,784-1982-7155129-4,"Tower 54, Dubai",2023-12-02,2025-09-08,8,6.23,none
R0044,E045,Employee 045,2025-10-31,21400,1000,18000,0.056,G6,BA-0044,784-1993-4746705-4,"Tower 28, Dubai",2025-01-16,2025-09-27,12,4.63,none
R0045,E046,Employee 046,2025-10-31,50400,0,50000,0.0,G2,BA-0045,784-1988-2509223-3,"Tower 80, Dubai",2023-11-16,2025-09-04,2,0.38,none
R0046,E047,Employee 047,2025-10-31,17800,2000,8000,0.25,G6,BA-0046,784-1997-7048110-2,"Tower 62, Dubai",2024-04-12,2025-09-16,39,4.79,none
R0047,E048,Employee 048,2025-10-31,19200,1000,18000,0.056,G5,BA-0001,784-1982-1696656-4,"Tower 58, Dubai",2025-07-02,2025-09-14,1,0.02,none
R0048,E049,Employee 049,2025-10-31,14000,0,12000,0.0,G3,BA-0048,784-1991-2533849-6,"Tower 56, Dubai",2025-06-24,2025-09-12,10,4.16,none
R0049,E050,Employee 050,2025-10-31,21400,1000,18000,0.056,G3,BA-0049,784-1983-2482388-2,"Tower 73, Dubai",2024-08-21,2025-09-21,12,2.79,none
R0050,E051,Employee 051,2025-10-31,27400,0,25000,0.0,G5,BA-0050,784-1983-8251380-6,"Tower 71, Dubai",2024-06-02,2025-09-27,12,7.65,none
R0051,E052,Employee 052,2025-10-31,18200,5000,12000,0.417,G5,BA-0051,784-1992-5707345-6,"Tower 52, Dubai",2023-12-23,2025-09-03,6,6.4,none
R0052,E053,Employee 053,2025-10-31,36700,500,35000,0.014,G6,BA-0052,784-1997-0825801-7,"Tower 57, Dubai",2025-01-04,2025-09-18,6,1.35,none
R0053,E054,Employee 054,2025-10-31,39200,2000,35000,0.057,G6,BA-0053,784-1981-9314237-3,"Tower 4, Dubai",2024-03-27,2025-09-14,11,1.14,none
R0054,E055,Employee 055,2025-10-31,10800,2000,8000,0.25,G2,BA-0054,784-1991-3199068-7,"Tower 52, Dubai",2022-02-18,2025-09-06,4,7.19,none
R0055,E056,Employee 056,2025-10-31,26700,500,25000,0.02,G5,BA-0055,784-1981-6555944-6,"Tower 29, Dubai",2021-11-15,2025-09-24,6,6.03,none
R0056,E057,Employee 057,2025-10-31,18200,5000,12000,0.417,G2,BA-0056,784-1980-7488615-8,"Tower 79, Dubai",2023-05-20,2025-09-13,6,1.64,none
R0057,E058,Employee 058,2025-10-31,141400,105000,35000,3.0,G6,BA-0057,784-2000-7511858-1,"Tower 69, Dubai",2022-09-18,2025-09-23,7,0.69,none
R0058,E059,Employee 059,2025-10-31,35000,0,35000,0.0,G5,BA-0058,000-0000-0000000-0,Unknown,2022-01-01,2025-09-06,0,5.69,none
R0059,E060,Employee 060,2025-10-31,12000,0,12000,0.0,G6,BA-0059,784-1986-7808957-7,"Tower 5, Dubai",2023-04-07,2025-09-27,0,3.36,none
R0060,E061,Employee 061,2025-10-31,9300,500,8000,0.062,G5,BA-0060,784-1996-2490812-2,"Tower 20, Dubai",2025-06-28,2025-09-06,4,5.85,none
R0061,E062,Employee 062,2025-10-31,35800,0,35000,0.0,G5,BA-0061,784-1986-8288077-0,"Tower 78, Dubai",2021-07-26,2025-09-08,4,1.35,none
R0062,E063,Employee 063,2025-10-31,12400,2000,8000,0.25,G2,BA-0062,784-1992-8841378-2,"Tower 25, Dubai",2022-06-06,2025-09-30,12,54.41,none
R0063,E064,Employee 064,2025-10-31,9200,0,8000,0.0,G5,BA-0063,784-1990-2394071-7,"Tower 77, Dubai",2022-01-07,2025-09-25,6,5.0,none
R0064,E065,Employee 065,2025-10-31,13100,500,12000,0.042,G6,BA-0064,784-1982-8453147-6,"Tower 66, Dubai",2024-08-20,2025-09-13,3,4.64,none
R0065,E066,Employee 066,2025-10-31,37600,2000,35000,0.057,G4,BA-0065,784-1994-0109015-1,"Tower 57, Dubai",2023-01-09,2025-09-08,3,6.22,none
R0066,E067,Employee 067,2025-10-31,51300,500,50000,0.01,G5,BA-0066,784-1986-9396843-4,"Tower 78, Dubai",2022-07-28,2025-09-30,4,0.16,none
R0067,E068,Employee 068,2025-10-31,55000,5000,50000,0.1,G6,BA-0067,784-1984-7089234-5,"Tower 31, Dubai",2023-02-12,2025-09-01,0,5.3,none
R0068,E069,Employee 069,2025-10-31,52800,2000,50000,0.04,G2,BA-0068,784-1990-7417030-0,"Tower 10, Dubai",2025-03-01,2025-09-04,4,0.8,none
R0069,E070,Employee 070,2025-10-31,26600,0,18000,0.0,G6,BA-0069,784-1995-9590474-7,"Tower 74, Dubai",2021-07-31,2025-09-01,43,6.12,none
R0070,E071,Employee 071,2025-10-31,32200,5000,25000,0.2,G6,BA-0070,784-1990-9278275-5,"Tower 11, Dubai",2023-04-23,2025-09-25,11,0.14,none
R0071,E072,Employee 072,2025-10-31,26800,0,25000,0.0,G4,BA-0071,784-1984-1990120-9,"Tower 20, Dubai",2025-03-03,2025-09-13,9,1.68,none
R0072,E073,Employee 073,2025-10-31,38000,1000,35000,0.029,G5,BA-0072,784-1986-8336122-3,"Tower 14, Dubai",2022-05-07,2025-09-18,10,3.97,none
R0073,E074,Employee 074,2025-10-31,26000,1000,25000,0.04,G5,BA-0073,784-1986-7924848-0,"Tower 7, Dubai",2023-03-13,2025-09-17,0,0.62,none
R0074,E075,Employee 075,2025-10-31,11800,2000,8000,0.25,G2,BA-0074,784-1999-5420090-0,"Tower 39, Dubai",2022-12-12,2025-09-01,9,2.45,none
R0075,E076,Employee 076,2025-10-31,52100,500,50000,0.01,G4,BA-0075,784-1993-0014837-6,"Tower 18, Dubai",2021-10-03,2025-10-01,8,2.63,none
R0076,E077,Employee 077,2025-10-31,101000,75000,25000,3.0,G5,BA-0076,784-1987-5021061-8,"Tower 62, Dubai",2024-06-06,2025-09-01,5,1.23,none
R0077,E078,Employee 078,2025-10-31,9400,1000,8000,0.125,G3,BA-0077,784-1989-5978296-9,"Tower 52, Dubai",2022-09-04,2025-09-21,2,0.45,none
R0078,E079,Employee 079,2025-10-31,18000,0,18000,0.0,G3,BA-0078,784-1988-1106418-8,"Tower 31, Dubai",2024-10-23,2025-09-04,0,5.9,none
R0079,E080,Employee 080,2025-10-31,28400,2000,25000,0.08,G4,BA-0079,784-1997-4287839-1,"Tower 55, Dubai",2023-12-31,2025-09-21,7,6.52,none
R0080,E081,Employee 081,2025-10-31,14200,2000,12000,0.167,G3,BA-0080,784-1983-1118669-3,"Tower 15, Dubai",2023-09-19,2025-09-07,1,3.86,none
R0081,E082,Employee 082,2025-10-31,14000,0,12000,0.0,G3,BA-0081,784-1986-9937331-8,"Tower 41, Dubai",2024-11-22,2025-09-03,10,2.77,none
R0082,E083,Employee 083,2025-10-31,52200,1000,50000,0.02,G5,BA-0082,784-1992-6687975-1,"Tower 47, Dubai",2022-05-28,2025-09-14,6,3.74,reactivation
R0083,E084,Employee 084,2025-10-31,36300,500,35000,0.014,G5,BA-0083,784-1995-9162635-1,"Tower 69, Dubai",2024-10-09,2025-09-30,4,2.37,none
R0084,E085,Employee 085,2025-10-31,11000,1000,8000,0.125,G6,BA-0084,784-1980-5578636-5,"Tower 54, Dubai",2022-05-03,2025-09-29,10,6.64,none
R0085,E086,Employee 086,2025-10-31,31200,5000,25000,0.2,G2,BA-0085,784-2000-3583891-6,"Tower 65, Dubai",2025-01-02,2025-09-20,6,7.56,none
R0086,E087,Employee 087,2025-10-31,50700,500,50000,0.01,G5,BA-0086,784-1993-8207086-8,"Tower 27, Dubai",2023-04-30,2025-09-19,1,5.35,none
R0087,E088,Employee 088,2025-10-31,10400,1000,8000,0.125,G2,BA-0087,000-0000-0000000-0,Unknown,2023-07-14,2025-09-27,7,5.56,none
R0088,E089,Employee 089,2025-10-31,14400,1000,12000,0.083,G3,BA-0088,784-1991-4820137-5,"Tower 34, Dubai",2024-07-25,2025-09-02,7,6.7,none
R0089,E090,Employee 090,2025-10-31,20400,0,18000,0.0,G3,BA-0089,784-2000-4342218-4,"Tower 76, Dubai",2023-07-16,2025-09-01,12,1.18,none
R0090,E091,Employee 091,2025-10-31,25400,0,25000,0.0,G5,BA-0090,784-1993-5894831-6,"Tower 13, Dubai",2025-06-23,2025-10-01,2,4.59,none
R0091,E092,Employee 092,2025-10-31,19100,500,18000,0.028,G2,BA-0091,784-1980-1794564-6,"Tower 31, Dubai",2024-08-15,2025-09-07,3,6.34,none
R0092,E093,Employee 093,2025-10-31,36500,500,25000,0.02,G5,BA-0092,784-1996-1342949-1,"Tower 55, Dubai",2022-04-27,2025-09-20,55,2.65,none
R0093,E094,Employee 094,2025-10-31,26400,0,25000,0.0,G6,BA-0093,784-1989-4281974-3,"Tower 15, Dubai",2022-11-24,2025-09-20,7,41.27,none
R0094,E095,Employee 095,2025-10-31,10000,2000,8000,0.25,G5,BA-0094,784-1985-6128936-7,"Tower 26, Dubai",2022-03-18,2025-09-09,0,6.87,none
R0095,E096,Employee 096,2025-10-31,101200,75000,25000,3.0,G5,BA-0095,784-1984-5407395-8,"Tower 5, Dubai",2025-02-13,2025-09-16,6,5.85,none
R0096,E097,Employee 097,2025-10-31,16400,2000,12000,0.167,G4,BA-0096,784-1991-7165406-9,"Tower 27, Dubai",2023-06-01,2025-09-19,12,4.3,none
R0097,E098,Employee 098,2025-10-31,52400,0,50000,0.0,G6,BA-0097,784-1998-0167253-5,"Tower 36, Dubai",2023-11-16,2025-09-03,12,3.84,none
R0098,E099,Employee 099,2025-10-31,37200,2000,35000,0.057,G4,BA-0098,784-1987-3514244-1,"Tower 71, Dubai",2023-02-14,2025-09-01,1,4.41,none
R0099,E100,Employee 100,2025-10-31,15400,2000,12000,0.167,G2,BA-0099,784-1980-1805427-2,"Tower 5, Dubai",2022-10-01,2025-09-05,7,7.71,none
R0100,E101,Employee 101,2025-10-31,19000,1000,18000,0.056,G6,BA-0100,784-1994-7457915-1,"Tower 38, Dubai",2023-05-29,2025-09-08,0,5.87,none
R0101,E102,Employee 102,2025-10-31,9400,0,8000,0.0,G5,BA-0101,784-1996-3089627-2,"Tower 24, Dubai",2025-01-01,2025-09-01,7,2.2,none
R0102,E103,Employee 103,2025-10-31,52600,1000,50000,0.02,G2,BA-0102,784-1988-2747307-4,"Tower 41, Dubai",2022-01-12,2025-09-21,8,4.21,none
R0103,E104,Employee 104,2025-10-31,38000,2000,35000,0.057,G4,BA-0103,784-1997-3777761-5,"Tower 42, Dubai",2025-02-26,2025-09-13,5,1.82,none
R0104,E105,Employee 105,2025-10-31,12400,0,12000,0.0,G3,BA-0104,784-1999-7849475-7,"Tower 33, Dubai",2025-05-02,2025-09-03,2,7.18,none
R0105,E106,Employee 106,2025-10-31,15000,5000,8000,0.625,G4,BA-0105,784-1995-1651883-7,"Tower 79, Dubai",2023-08-26,2025-09-09,10,5.56,none
R0106,E107,Employee 107,2025-10-31,30000,5000,25000,0.2,G3,BA-0106,784-1990-8703914-4,"Tower 23, Dubai",2023-12-18,2025-09-13,0,6.23,none
R0107,E108,Employee 108,2025-10-31,20200,1000,18000,0.056,G5,BA-0107,784-1985-3662479-1,"Tower 22, Dubai",2022-12-19,2025-09-08,6,3.71,none
R0108,E109,Employee 109,2025-10-31,37400,2000,35000,0.057,G6,BA-0108,784-1984-0764479-5,"Tower 19, Dubai",2021-12-23,2025-09-11,2,6.73,none
R0109,E110,Employee 110,2025-10-31,14800,5000,8000,0.625,G5,BA-0109,784-1990-8601678-9,"Tower 47, Dubai",2025-07-31,2025-09-07,9,5.68,none
R0110,E111,Employee 111,2025-10-31,14600,5000,8000,0.625,G6,BA-0110,784-1989-6553591-2,"Tower 33, Dubai",2022-09-13,2025-09-28,8,5.95,none
R0111,E112,Employee 112,2025-10-31,9800,0,8000,0.0,G3,BA-0111,784-1990-2646676-1,"Tower 8, Dubai",2024-12-11,2025-09-20,9,3.31,none
R0112,E113,Employee 113,2025-10-31,54200,2000,50000,0.04,G3,BA-0112,784-1993-2646804-6,"Tower 74, Dubai",2024-02-16,2025-09-23,11,1.4,none
R0113,E114,Employee 114,2025-10-31,18600,5000,12000,0.417,G2,BA-0113,784-1981-6892621-3,"Tower 60, Dubai",2021-08-01,2025-09-24,8,6.23,none
R0114,E115,Employee 115,2025-10-31,48800,36000,12000,3.0,G3,BA-0114,784-1995-1012873-6,"Tower 35, Dubai",2022-09-21,2025-09-04,4,5.31,none
R0115,E116,Employee 116,2025-10-31,61400,1000,50000,0.02,G5,BA-0115,784-1987-5316601-2,"Tower 43, Dubai",2021-09-07,2025-09-25,52,2.57,none
R0116,E117,Employee 117,2025-10-31,15400,1000,12000,0.083,G5,BA-0116,000-0000-0000000-0,Unknown,2024-08-06,2025-09-11,12,1.56,none
R0117,E118,Employee 118,2025-10-31,37400,1000,35000,0.029,G2,BA-0117,784-1994-6582454-5,"Tower 51, Dubai",2022-05-31,2025-09-04,7,7.02,none
R0118,E119,Employee 119,2025-10-31,37000,2000,35000,0.057,G2,BA-0118,784-1996-9253708-7,"Tower 13, Dubai",2024-04-11,2025-09-28,0,0.96,none
R0119,E120,Employee 120,2025-10-31,10000,0,8000,0.0,G5,BA-0119,784-1993-9100286-4,"Tower 16, Dubai",2025-06-03,2025-09-28,10,3.66,none
R0120,E121,Employee 121,2025-10-31,36500,500,35000,0.014,G2,BA-0120,784-1997-5172260-5,"Tower 16, Dubai",2022-03-08,2025-09-09,5,4.0,none
R0121,E122,Employee 122,2025-10-31,17400,5000,12000,0.417,G6,BA-0121,784-1997-6733521-3,"Tower 17, Dubai",2024-08-06,2025-09-29,2,6.68,none
R0122,E123,Employee 123,2025-10-31,36300,500,35000,0.014,G6,BA-0122,784-1996-8380170-3,"Tower 41, Dubai",2024-02-15,2025-09-15,4,4.02,none
R0123,E124,Employee 124,2025-10-31,36000,0,35000,0.0,G2,BA-0123,784-1987-5549770-3,"Tower 4, Dubai",2021-10-21,2025-09-19,5,0.79,reactivation
R0124,E125,Employee 125,2025-10-31,9600,1000,8000,0.125,G6,BA-0124,784-2000-0206814-4,"Tower 7, Dubai",2024-12-06,2025-09-08,3,56.11,none
R0125,E126,Employee 126,2025-10-31,13400,0,12000,0.0,G2,BA-0125,784-1997-1519184-6,"Tower 44, Dubai",2022-05-14,2025-09-07,7,1.15,none
R0126,E127,Employee 127,2025-10-31,37200,1000,35000,0.029,G2,BA-0126,784-1989-5901948-3,"Tower 64, Dubai",2025-07-31,2025-10-01,6,1.29,none
R0127,E128,Employee 128,2025-10-31,35400,0,35000,0.0,G2,BA-0127,784-2000-1565624-1,"Tower 33, Dubai",2024-05-30,2025-09-12,2,7.08,none
R0128,E129,Employee 129,2025-10-31,53400,2000,50000,0.04,G3,BA-0128,784-1990-8446397-2,"Tower 45, Dubai",2022-08-02,2025-09-28,7,7.63,none
R0129,E130,Employee 130,2025-10-31,12000,2000,8000,0.25,G5,BA-0129,784-2000-1911229-5,"Tower 69, Dubai",2025-04-17,2025-09-30,10,0.87,none
R0130,E131,Employee 131,2025-10-31,31400,5000,25000,0.2,G6,BA-0130,784-1980-4108987-4,"Tower 7, Dubai",2022-11-20,2025-09-24,7,2.18,none
R0131,E132,Employee 132,2025-10-31,29200,2000,25000,0.08,G4,BA-0131,784-1996-0731185-4,"Tower 59, Dubai",2024-09-29,2025-09-11,11,2.38,none
R0132,E133,Employee 133,2025-10-31,37800,1000,35000,0.029,G3,BA-0132,784-1980-6036983-8,"Tower 26, Dubai",2024-11-18,2025-09-22,9,7.27,none
R0133,E134,Employee 134,2025-10-31,60200,48000,12000,4.0,G6,BA-0133,784-1986-1401359-8,"Tower 63, Dubai",2024-01-18,2025-09-19,1,0.99,none
R0134,E135,Employee 135,2025-10-31,19700,500,18000,0.028,G5,BA-0134,784-1989-2332994-1,"Tower 43, Dubai",2025-02-28,2025-09-09,6,3.04,none
R0135,E136,Employee 136,2025-10-31,10100,500,8000,0.062,G6,BA-0135,784-1997-2072471-7,"Tower 27, Dubai",2022-09-20,2025-09-07,8,7.95,none
R0136,E137,Employee 137,2025-10-31,26500,500,25000,0.02,G3,BA-0136,784-1983-8018267-0,"Tower 50, Dubai",2023-07-27,2025-10-01,5,1.99,none
R0137,E138,Employee 138,2025-10-31,26600,1000,25000,0.04,G2,BA-0137,784-1988-8542788-2,"Tower 6, Dubai",2021-10-05,2025-09-08,3,4.26,none
R0138,E139,Employee 139,2025-10-31,24600,2000,12000,0.167,G5,BA-0138,784-1996-8862192-3,"Tower 58, Dubai",2024-03-03,2025-09-18,53,5.39,none
R0139,E140,Employee 140,2025-10-31,14900,500,12000,0.042,G4,BA-0139,784-1989-9515224-8,"Tower 11, Dubai",2025-03-17,2025-09-06,12,6.48,none
