record_id,vendor_id,vendor_name,vendor_iban,vendor_address,vendor_phone,invoice_no,amount,payment_date,payment_datetime,description,gl_account,employee_id,employee_iban,po_number
R0090,V012,Vendor 012 LLC,AE07033000000000000000,"Street 90, Dubai",+97153816534,INV-2090,38469.48,2025-09-28,2025-09-28T12:51:00,supplier payment,GL-0000,E007,AE999995336699562471577,
R0091,V024,Vendor 024 LLC,AE07033000000000000000,"Street 91, Dubai",+97150763626,INV-2091,112.08,2025-10-09,2025-10-09T16:50:00,supplier payment,GL-0001,E006,AE999994941553691245996,PO-3091
R0092,V004,Vendor 004 LLC,AE07033000000000000000,"Street 92, Dubai",+97150205779,INV-2092,202000,2025-11-29,2025-11-29T18:50:00,supplier payment,GL-0002,E010,AE999991848053521332720,PO-3092
R0093,V019,Vendor 019 LLC,AE07033000000000000000,"Street 93, Dubai",+97154235884,INV-2093,3480.49,2025-11-01,2025-11-01T10:39:00,test reversal correction,GL-0003,E016,AE999990925522354428571,
R0094,V031,Vendor 031 LLC,AE07033000000000000000,"Street 94, Dubai",+97152545556,INV-2094,2526.25,2025-09-09,2025-09-09T09:45:00,supplier payment,GL-0004,E004,AE999990965734934724890,PO-3094
R0095,V010,Vendor 010 LLC,AE07033000000000000000,"Street 95, Dubai",+97153786401,INV-2095,9560.0,2025-09-11,2025-09-11T16:17:00,supplier payment,GL-0005,E010,AE999997497126396465360,PO-3095
R0096,V034,Vendor 034 LLC,AE07033000000000000000,"Street 96, Dubai",+97155123430,INV-2096,151274.36,2025-10-28,2025-10-28T12:09:00,supplier payment,GL-0006,E013,AE999997725112819363920,
R0097,V004,Vendor 004 LLC,AE07033000000000000000,"Street 97, Dubai",+97152634980,INV-2097,15463.32,2025-09-27,2025-09-27T12:03:00,supplier payment,GL-0007,E004,AE999991462542280020370,PO-3097
R0098,V016,Vendor 016 LLC,AE07033000000000000000,"Street 98, Dubai",+97159962498,INV-2098,183.12,2025-11-10,2025-11-10T08:43:00,supplier payment,GL-0008,E006,AE999998115552913759117,PO-3098
R0099,V031,Vendor 031 LLC,AE07033000000000000000,"Street 99, Dubai",+97153916201,INV-2099,645.9,2025-09-05,2025-09-05T12:08:00,supplier payment,GL-0000,E010,AE999991282260141303202,
R0100,V017,Vendor 017 LLC,AE07033000000000000000,"Street 100, Dubai",+97154456573,INV-2100,252.18,2025-10-25,2025-10-25T11:13:00,supplier payment,GL-0001,E007,AE999992683953614644130,PO-3100
R0101,V010,Vendor 010 LLC,AE07033000000000000000,"Street 101, Dubai",+97157367772,INV-2101,380.83,2025-09-08,2025-09-08T12:19:00,supplier payment,GL-0002,E003,AE999995199147767645718,PO-3101
R0102,V008,Vendor 008 LLC,AE07033000000000000000,"Street 102, Dubai",+97158396529,INV-2102,1159.63,2025-11-29,2025-11-29T14:49:00,supplier payment,GL-0003,E015,AE999994904354189621992,
R0103,V035,Vendor 035 LLC,AE07033000000000000000,"Street 103, Dubai",+97155407658,INV-2103,191.23,2025-10-27,2025-10-27T08:46:00,supplier payment,GL-0004,E016,AE999997782737963464700,PO-3103
R0104,V017,Vendor 017 LLC,AE07033000000000000000,"Street 104, Dubai",+97154521644,INV-2104,632.75,2025-09-12,2025-09-12T18:02:00,supplier payment,GL-0005,E001,AE999990373717777955540,PO-3104
R0105,V003,Vendor 003 LLC,AE07033000000000000000,"Street 105, Dubai",+97153044882,INV-2105,6551.99,2025-10-31,2025-10-31T15:24:00,supplier payment,GL-0006,E006,AE999995010826314628864,
R0106,V028,Vendor 028 LLC,AE07033000000000000000,PO Box 1234,+97151754894,INV-2106,4416.07,2025-09-12,2025-09-12T14:03:00,supplier payment,GL-0007,E016,AE999995783668816851710,PO-3106
R0107,V011,Vendor 011 LLC,AE07033000000000000000,"Street 107, Dubai",+97150615675,INV-2107,26782.92,2025-10-23,2025-10-23T12:14:00,supplier payment,GL-0008,E011,AE999999909661049298173,PO-3107
R0108,V030,Vendor 030 LLC,AE07033000000000000000,"Street 108, Dubai",+97159103209,INV-2108,764.53,2025-10-11,2025-10-11T09:30:00,supplier payment,GL-0000,E003,AE999990020736051077512,
R0109,V030,Vendor 030 LLC,AE07033000000000000000,"Street 109, Dubai",+97154480460,INV-2109,453.46,2025-09-07,2025-09-07T13:06:00,supplier payment,GL-0001,E014,AE999993666978874486268,PO-3109
R0110,V009,Vendor 009 LLC,AE07033000000000000000,"Street 110, Dubai",+97154014745,INV-2110,121049.54,2025-10-27,2025-10-27T15:13:00,supplier payment,GL-0002,E010,AE999990520065226491830,PO-3110
R0111,V009,Vendor 009 LLC,AE07033000000000000000,"Street 111, Dubai",+97151903561,INV-2111,121049.54,2025-11-10,2025-11-10T14:37:00,supplier payment,GL-0003,E010,AE999994047843868053247,
R0112,V030,Vendor 030 LLC,AE07033000000000000000,"Street 112, Dubai",+97154587308,INV-2112,81752.51,2025-11-22,2025-11-22T15:50:00,supplier payment,GL-0004,E004,AE999999167020536328302,PO-3112
R0113,V027,Vendor 027 LLC,AE07033000000000000000,"Street 113, Dubai",+97153197911,INV-2113,712.95,2025-10-31,2025-10-31T16:15:00,supplier payment,GL-0005,E016,AE999996910070424551809,PO-3113
R0114,V033,Vendor 033 LLC,AE07033000000000000000,"Street 114, Dubai",+97154482413,INV-2114,9904.0,2025-09-09,2025-09-09T14:07:00,supplier payment,GL-0006,E005,AE999999146591506585887,
R0115,V001,Vendor 001 LLC,AE07033000000000000000,"Street 115, Dubai",+97159035882,INV-2115,85000,2025-10-09,2025-10-09T17:53:00,supplier payment,GL-0007,E010,AE999998044281110092130,PO-3115
R0116,V031,Vendor 031 LLC,AE07033000000000000000,"Street 116, Dubai",+97157639414,INV-2116,8544.98,2025-10-13,2025-10-13T23:33:00,supplier payment,GL-0008,E012,AE999996795211826936733,PO-3116
R0117,V021,Vendor 021 LLC,AE07033000000000000000,"Street 117, Dubai",+97150732280,INV-2117,685.2,2025-11-29,2025-11-29T14:22:00,supplier payment,GL-0000,E007,AE999997399866909725999,
R0118,V021,Vendor 021 LLC,AE07033000000000000000,"Street 118, Dubai",+97158310235,INV-2118,157400.31,2025-11-30,2025-11-30T14:36:00,supplier payment,GL-0001,E016,AE999992740085973247451,PO-3118
R0119,V003,Vendor 003 LLC,AE07033000000000000000,"Street 119, Dubai",+97157387112,INV-2119,239187.0,2025-11-08,2025-11-08T13:56:00,supplier payment,GL-0002,E005,AE999991808008873291287,PO-3119
R0120,V007,Vendor 007 LLC,AE07033000000000000000,"Street 120, Dubai",+97157876745,INV-2120,113.17,2025-10-29,2025-10-29T10:31:00,supplier payment,GL-0003,E017,AE999991347984738760591,
R0121,V017,Vendor 017 LLC,AE07033000000000000000,"Street 121, Dubai",+97155312692,INV-2121,26574.56,2025-11-19,2025-11-19T18:21:00,supplier payment,GL-0004,E011,AE999996845638995835093,PO-3121
R0122,V032,Vendor 032 LLC,AE07033000000000000000,"Street 122, Dubai",+97151651601,INV-2122,173.57,2025-11-19,2025-11-19T18:15:00,supplier payment,GL-0005,E002,AE999997817734220093853,PO-3122
R0123,V007,Vendor 007 LLC,AE07033000000000000000,"Street 123, Dubai",+97150771600,INV-2123,26853.7,2025-09-22,2025-09-22T08:40:00,supplier payment,GL-0006,E015,AE0703300000000000000007,
R0124,V021,Vendor 021 LLC,AE07033000000000000000,"Street 124, Dubai",+97158911492,INV-2124,1797.3,2025-10-08,2025-10-08T14:24:00,test reversal correction,GL-0007,E002,AE999994399069338537952,PO-3124
R0125,V027,Vendor 027 LLC,AE07033000000000000000,"Street 125, Dubai",+97154040453,INV-2125,409.96,2025-09-22,2025-09-22T17:20:00,supplier payment,GL-0008,E006,AE999996891308831430671,PO-3125
R0126,V032,Vendor 032 LLC,AE07033000000000000000,"Street 126, Dubai",+97150157662,INV-2126,4111.73,2025-09-30,2025-09-30T12:52:00,supplier payment,GL-0000,E005,AE999994599555465570689,
R0127,V030,Vendor 030 LLC,AE07033000000000000000,"Street 127, Dubai",+97157118722,INV-2127,8186.41,2025-11-26,2025-11-26T09:42:00,supplier payment,GL-0001,E010,AE999995389082673486180,PO-3127
R0128,V017,Vendor 017 LLC,AE07033000000000000000,"Street 128, Dubai",+97151789344,INV-2128,498.03,2025-10-09,2025-10-09T14:01:00,supplier payment,GL-0002,E015,AE999998704704078164306,PO-3128
R0129,V016,Vendor 016 LLC,AE07033000000000000000,"Street 129, Dubai",+97156640518,INV-2129,1804.5,2025-11-13,2025-11-13T12:12:00,supplier payment,GL-0003,E013,AE999990395228453551664,
R0130,V018,Vendor 018 LLC,AE07033000000000000000,"Street 130, Dubai",+97154801541,INV-2130,106594.77,2025-11-12,2025-11-12T08:46:00,supplier payment,GL-0004,E001,AE999998948245439158839,PO-3130
